1t002:008	10	@	-	pyhät␣
1t002:008	11	@	-	kädet␣
1t002:008	12	@	-	ilman␣
1t002:008	13	@	-	vihaa␣
1t002:008	14	@	-	ja␣
1t002:008	15a	@	-	epäilystä
1t002:008	15b	;	-	;␣
1t002:009	1t002:009	1t002:009	VERSE	1Tm␣2:9␣
1t002:009	1a	@	-	niin␣
1t002:009	2a	@	-	myös
1t002:009	-	(,)	-	,␣
1t002:009	-	(@)	-	että␣
1t002:009	3	@	-	naiset␣
1t002:009	-	(@)	-	ovat␣
1t002:009	6	@	-	säädyllisessä␣
1t002:009	5	@	-	puvussa
1t002:009	4	%case	LOC	
1t002:009	-	(,)	-	,␣
1t002:009	11	@	-	kaunistavat␣
1t002:009	12a	@	-	itseään␣
1t002:009	8	@	-	kainosti␣
1t002:009	7	%case	MAN	
1t002:009	9	@	-	ja␣
1t002:009	10	@	-	siveästi
1t002:009	12b	,	-	,␣
1t002:009	13	@	-	ei␣
1t002:009	15	@	-	palmikoiduilla␣
1t002:009	15	@	-	hiuksilla
1t002:009	14	%case	LOC	
1t002:009	-	(,)	-	,␣
1t002:009	16	@	-	ei␣
1t002:009	17	@	-	kullalla
1t002:009	-	(,)	-	,␣
1t002:009	18	@	-	ei␣
1t002:009	19	@	-	helmillä␣
1t002:009	20	@	-	eikä␣
1t002:009	22a	@	-	kallisarvoisilla␣
1t002:009	21	@	-	vaatteilla
1t002:009	22b	,	-	,␣
1t002:010	1t002:010	1t002:010	VERSE	1Tm␣2:10␣
1t002:010	1	@	-	vaan␣
1t002:010	9a	@	-	hyvillä␣
1t002:010	8	@	-	teoilla
1t002:010	7	%case	LOC	
1t002:010	-	(,)	-	,␣
1t002:010	2	@	-	niinkuin␣
1t002:010	3	@	-	sopii␣
1t002:010	4	@	-	naisille
1t002:010	-	(,)	-	,␣
1t002:010	5	(@)	-	jotka␣
1t002:010	5	@	-	tunnustautuvat␣
1t002:010	6a	@	-	jumalaapelkääviksi
1t002:010	9b	.	-	.␣
1t002:011	1t002:011	1t002:011	VERSE	1Tm␣2:11␣
1t002:011	4	@	-	Oppikoon␣
1t002:011	1	@	-	nainen␣
1t002:011	3	@	-	hiljaisuudessa
1t002:011	2	%case	LOC	
1t002:011	-	(,)	-	,␣
1t002:011	6	@	-	kaikin␣
1t002:011	6	@	-	puolin␣
1t002:011	7a	@	-	alistuvaisena
1t002:011	5	%case	ESS	
1t002:011	7b	;	-	;␣
1t002:012	1t002:012	1t002:012	VERSE	1Tm␣2:12␣
1t002:012	2	@	-	mutta␣
1t002:012	5	(@)	-	minä␣
1t002:012	4	@	-	en␣
1t002:012	5	@	-	salli
1t002:012	-	(,)	-	,␣
1t002:012	1	(@)	-	että␣
1t002:012	3	@	-	vaimo␣
1t002:012	1	@	-	opettaa
1t002:012	-	(,)	-	,␣
1t002:012	6	@	-	enkä␣
1t002:012	7	(@)	-	että␣
1t002:012	7	(@)	-	hän␣
1t002:012	7	@	-	vallitsee␣
1t002:012	8a	@	-	miestänsä
1t002:012	8b	,	-	,␣
1t002:012	9	@	-	vaan␣
1t002:012	10	@	-	eläköön␣
1t002:012	10	(@)	-	hän␣
1t002:012	12a	@	-	hiljaisuudessa
1t002:012	11	%case	LOC	
1t002:012	12b	.	-	.␣
1t002:013	1t002:013	1t002:013	VERSE	1Tm␣2:13␣
1t002:013	2	@	-	Sillä␣
1t002:013	1	@	-	Aadam␣
1t002:013	4a	@	-	luotiin␣
1t002:013	3	@	-	ensin
1t002:013	4b	,	-	,␣
1t002:013	5	@	-	sitten␣
1t002:013	6a	@	-	Eeva
1t002:013	6b	;	-	;␣
1t002:014	1t002:014	1t002:014	VERSE	1Tm␣2:14␣
1t002:014	3	@	-	eikä␣
1t002:014	1	%clitic	kA	
1t002:014	2	@	-	Aadamia␣
1t002:014	4a	@	-	petetty
1t002:014	-	(,)	-	,␣
1t002:014	6	@	-	vaan␣
1t002:014	(5) 7	@	-	nainen␣
1t002:014	8	@	-	petettiin␣
1t002:014	-	(@)	-	ja␣
1t002:014	11a	@	-	joutui␣
1t002:014	10	@	-	rikkomukseen
1t002:014	9	%case	LOC	
1t002:014	11b	.	-	.␣
1t002:015	1t002:015	1t002:015	VERSE	1Tm␣2:15␣
1t002:015	2	@	-	Mutta␣
1t002:015	1	(@)	-	hän␣
1t002:015	1	(@)	-	on␣
1t002:015	1	@	-	pelastuva␣
